cdek_id;city_name;region_name
16630;"17 Лет Октября";Адыгея
16418;Абадзехская;Адыгея
16713;Адамий;Адыгея
1588;Адыгейск;Адыгея
16608;Ассоколай;Адыгея
1590;Афипсип;Адыгея
16631;Безводная;Адыгея
16439;Белое;Адыгея
16591;Бжедугхабль;Адыгея
16444;Блечепсин;Адыгея
16714;Богурсуков;Адыгея
16440;Большесидировское;Адыгея
16715;Верхненазаровское;Адыгея
16731;Веселый;Адыгея
16675;Владимировское;Адыгея
16716;Водный;Адыгея
16676;Вольно-Веселый;Адыгея
16428;Вольное;Адыгея
16632;Вольный;Адыгея
16609;Вочепший;Адыгея
16441;Габукай;Адыгея
16633;Гавердовский;Адыгея
16677;Гавриловский;Адыгея
16610;Гатлукай;Адыгея
16678;Георгиевское;Адыгея
16027;Гиагинская;Адыгея
16679;Гончарка;Адыгея
16611;Городской;Адыгея
16634;Гражданский;Адыгея
16635;"Грозный (Кировское с/п)";Адыгея
16636;"Грозный (Побединское с/п)";Адыгея
16637;Гузерипль;Адыгея
16638;Дагестанская;Адыгея
16424;Даховская;Адыгея
16717;Джамбичи;Адыгея
16446;Джерокай;Адыгея
16612;Джиджихабль;Адыгея
16697;Дмитриевский;Адыгея
16718;Догужиев;Адыгея
16422;Дондуковская;Адыгея
16732;Дорошенко;Адыгея
16426;Дружба;Адыгея
16592;Дружный;Адыгея
16430;Дукмасов;Адыгея
16639;Дьяков;Адыгея
16447;Егерухай;Адыгея
16448;Еленовское;Адыгея
16733;Задунаевский;Адыгея
16425;Зарево;Адыгея
16427;Игнатьевский;Адыгея
16698;Казенно-Кужорский;Адыгея
16640;Калинин;Адыгея
16421;Каменномостский;Адыгея
16641;Кармирастх;Адыгея
16699;Кармолино-Гидроицкий;Адыгея
16680;Карцев;Адыгея
16734;Касаткин;Адыгея
16735;Келеметов;Адыгея
16417;Келермесская;Адыгея
16642;Киша;Адыгея
1600;Козет;Адыгея
16613;Колос;Адыгея
16643;Коминтерн;Адыгея
16700;Комсомольский;Адыгея
16644;Косинов;Адыгея
32942;Кочкин;Адыгея
1229;Кошехабль;Адыгея
16414;"Красная Улька";Адыгея
16594;Красноармейский;Адыгея
16449;Красногвардейское;Адыгея
16411;Краснооктябрьский;Адыгея
16645;"Красный Мост";Адыгея
16681;"Красный Пахарь";Адыгея
16701;"Красный Фарс";Адыгея
16682;"Красный Хлебороб";Адыгея
16702;Красный;Адыгея
16614;Красный;Адыгея
16646;Круглый;Адыгея
16416;Кужорская;Адыгея
16615;Кунчукохабль;Адыгея
16647;Курджипская;Адыгея
16683;Курский;Адыгея
16736;Лейбоабазов;Адыгея
16684;Лесной;Адыгея
16719;Лесной;Адыгея
16737;Лесхозный;Адыгея
1233;Майкоп;Адыгея
16445;Майский;Адыгея
16738;Мамацев;Адыгея
16431;Мамхег;Адыгея
16648;Махошеполяна;Адыгея
16649;Меркулаевка;Адыгея
16720;Мирный;Адыгея
16650;Мирный;Адыгея
16739;Михайлов;Адыгея
16685;Михельсоновский;Адыгея
16740;Мокроназаров;Адыгея
16721;Набережный;Адыгея
16595;Натухай;Адыгея
1083;Натырбово;Адыгея
16703;Натырбово;Адыгея
16616;Начерезий;Адыгея
16686;Нечаевский;Адыгея
16617;Нешукай;Адыгея
16687;"Нижний Айрюм";Адыгея
16383;"Новая Адыгея";Адыгея
16704;Новоалексеевский;Адыгея
16618;Нововочепший;Адыгея
16596;Новомогилевский;Адыгея
16651;Новопрохладное;Адыгея
16741;Новорусов;Адыгея
16652;Новосвободная;Адыгея
16722;Новосевастопольское;Адыгея
16423;Новый;Адыгея
16597;"Новый Сад";Адыгея
16688;Образцовое;Адыгея
16653;Октябрьский;Адыгея
16742;Орехов;Адыгея
16598;Отрадный;Адыгея
16705;Отрадный;Адыгея
16599;Панахес;Адыгея
16723;Папенков;Адыгея
16743;Пентюхов;Адыгея
16689;Первомайский;Адыгея
16654;Первомайский;Адыгея
16619;Петров;Адыгея
16744;Пикалин;Адыгея
16706;Плодопитомник;Адыгея
16655;"Победа п";Адыгея
16656;"Победа х";Адыгея
16657;Подгорный;Адыгея
16707;Политотдел;Адыгея
16620;Понежукай;Адыгея
16724;Преображенское;Адыгея
16600;Прикубанский;Адыгея
16658;Приречный;Адыгея
16690;Прогресс;Адыгея
16659;Пролетарский;Адыгея
16601;Псейтук;Адыгея
1617;Псекупс;Адыгея
16725;Пустоселов;Адыгея
16622;Пчегатлукай;Адыгея
16745;Пшизов;Адыгея
16623;Пшикуйхабль;Адыгея
16442;Пшичо;Адыгея
16429;Садовое;Адыгея
16691;Садовый;Адыгея
16660;Садовый;Адыгея
16726;Саратовский;Адыгея
16746;"Свободный Труд";Адыгея
16727;Свободный;Адыгея
16661;Севастопольская;Адыгея
16410;"Северо-Восточные Сады";Адыгея
16747;Семено-Макаровский;Адыгея
16419;Сергиевское;Адыгея
16708;Смольчев-Малиновский;Адыгея
16662;Советский;Адыгея
16412;Совхозный;Адыгея
16709;Соколов;Адыгея
16663;Спокойный;Адыгея
16602;Старобжегокай;Адыгея
16603;Старомогилевский;Адыгея
16664;"Султанская Караулка";Адыгея
16604;Суповский;Адыгея
16665;Табачный;Адыгея
16692;Тамбовский;Адыгея
16693;Тапехин;Адыгея
16624;Тауйхабль;Адыгея
1350;Тахтамукай;Адыгея
16415;Тимирязева;Адыгея
16748;Тихонов;Адыгея
16666;Ткачев;Адыгея
1624;Тлюстенхабль;Адыгея
16626;Тугургой;Адыгея
16413;Тульский;Адыгея
16667;Удобный;Адыгея
16749;Ульский;Адыгея
16438;Уляп;Адыгея
16668;Усть-Сахрайский;Адыгея
16669;"Учебное Лесничество";Адыгея
16694;Фарсовый;Адыгея
16670;Хакодзь;Адыгея
16432;Хакуринохабль;Адыгея
16752;Хакуринохабль;Адыгея
16671;Хамышки;Адыгея
16672;Ханская;Адыгея
16750;Хатажукай;Адыгея
16728;Хатукай;Адыгея
16710;Хачемзий;Адыгея
16605;Хаштук;Адыгея
16443;Ходзь;Адыгея
16606;Хомуты;Адыгея
16627;Чабанов;Адыгея
16695;Черемушкин;Адыгея
16711;Чехрак;Адыгея
16751;Чикалов;Адыгея
16729;Чумаков;Адыгея
16673;Шаумян;Адыгея
