Название;Родитель;Индекс;"Является городом?"
Россия;;;0
"Мурманская область";Россия;;0
Мордовия;Россия;;0
Чувашия;Россия;;0
"Оренбургская область";Россия;;0
"Свердловская область";Россия;;0
"Новгородская область";Россия;;0
Башкортостан;Россия;;0
"Астраханская область";Россия;;0
"Орловская область";Россия;;0
"Пермский край";Россия;;0
"Саха (Якутия)";Россия;;0
"Северная Осетия";Россия;;0
Татарстан;Россия;;0
"Тверская область";Россия;;0
"Тульская область";Россия;;0
"Псковская область";Россия;;0
Чечня;Россия;;0
"Усть-Ордынский Бурятский АО";Россия;;0
"Смоленская область";Россия;;0
Удмуртия;Россия;;0
"Иркутская область";Россия;;0
"Липецкая область";Россия;;0
"Курская область";Россия;;0
"Курганская область";Россия;;0
"Самарская область";Россия;;0
"Кемеровская область";Россия;;0
Карачаево-Черкессия;Россия;;0
"Калининградская область";Россия;;0
"Красноярский край";Россия;;0
Дагестан;Россия;;0
"Воронежская область";Россия;;0
"Московская область";Россия;;0
Москва;Россия;;0
Крым;Россия;;0
"Ярославская область";Россия;;0
"Ростовская область";Россия;;0
"Нижегородская область";Россия;;0
"Ненецкий АО";Россия;;0
"Омская область";Россия;;0
"Новосибирская область";Россия;;0
"Белгородская область";Россия;;0
"Пензенская область";Россия;;0
"Сахалинская область";Россия;;0
"Ульяновская область";Россия;;0
"Ханты-Мансийский АО";Россия;;0
Хакасия;Россия;;0
"Томская область";Россия;;0
"Тыва (Тува)";Россия;;0
"Челябинская область";Россия;;0
"Хабаровский край";Россия;;0
"Тамбовская область";Россия;;0
"Ставропольский край";Россия;;0
"Тюменская область";Россия;;0
"Приморский край";Россия;;0
Ингушетия;Россия;;0
"Ямало-Ненецкий АО";Россия;;0
Коми;Россия;;0
"Магаданская область";Россия;;0
"Ленинградская область";Россия;;0
"Рязанская область";Россия;;0
"Кировская область";Россия;;0
Кабардино-Балкария;Россия;;0
"Забайкальский край";Россия;;0
Карелия;Россия;;0
"Камчатский край";Россия;;0
"Калужская область";Россия;;0
Калмыкия;Россия;;0
"Саратовская область";Россия;;0
"Чукотский АО";Россия;;0
"Ивановская область";Россия;;0
"Брянская область";Россия;;0
Адыгея;Россия;;0
Алтай;Россия;;0
"Амурская область";Россия;;0
"Архангельская область";Россия;;0
"Краснодарский край";Россия;;0
"Еврейская АО";Россия;;0
"Алтайский край";Россия;;0
"Вологодская область";Россия;;0
"Волгоградская область";Россия;;0
"Владимирская область";Россия;;0
Бурятия;Россия;;0
Марий-Эл;Россия;;0
"Костромская область";Россия;;0
Буй;"Россия/Костромская область";157000;1
Волгореченск;"Россия/Костромская область";156901;1
Галич;"Россия/Костромская область";157200;1
Кологрив;"Россия/Костромская область";157440;1
Кострома;"Россия/Костромская область";156000;1
Макарьев;"Россия/Костромская область";157460;1
Мантурово;"Россия/Костромская область";157300;1
Нерехта;"Россия/Костромская область";157800;1
Нея;"Россия/Костромская область";157330;1
Солигалич;"Россия/Костромская область";157170;1
Чухлома;"Россия/Костромская область";157130;1
Шарья;"Россия/Костромская область";157500;1
Апрелевка;"Россия/Московская область";143360;1
Балашиха;"Россия/Московская область";143900;1
Бронницы;"Россия/Московская область";140170;1
Верея;"Россия/Московская область";140153;1
Видное;"Россия/Московская область";142700;1
Волоколамск;"Россия/Московская область";143600;1
Воскресенск;"Россия/Московская область";140200;1
Высоковск;"Россия/Московская область";141650;1
Голицыно;"Россия/Московская область";143040;1
Дедовск;"Россия/Московская область";143530;1
Дзержинский;"Россия/Московская область";140090;1
Дмитров;"Россия/Московская область";141800;1
Долгопрудный;"Россия/Московская область";141700;1
Домодедово;"Россия/Московская область";142000;1
Дрезна;"Россия/Московская область";142660;1
Дубна;"Россия/Московская область";141980;1
Егорьевск;"Россия/Московская область";140300;1
Железнодорожный;"Россия/Московская область";143920;1
Жуковский;"Россия/Московская область";140180;1
Зарайск;"Россия/Московская область";140600;1
Звенигород;"Россия/Московская область";143180;1
Ивантеевка;"Россия/Московская область";141280;1
Истра;"Россия/Московская область";143500;1
Истра-1;"Россия/Московская область";143501;1
Кашира;"Россия/Московская область";142900;1
Климовск;"Россия/Московская область";142180;1
Клин;"Россия/Московская область";141601;1
Коломна;"Россия/Московская область";140400;1
Королев;"Россия/Московская область";141060;1
Котельники;"Россия/Московская область";140053;1
Красноармейск;"Россия/Московская область";141290;1
Красногорск;"Россия/Московская область";143401;1
Краснозаводск;"Россия/Московская область";141321;1
Кубинка;"Россия/Московская область";143070;1
Куровское;"Россия/Московская область";142620;1
Ликино-Дулево;"Россия/Московская область";142670;1
Лобня;"Россия/Московская область";141730;1
Лосино-Петровский;"Россия/Московская область";141150;1
Луховицы;"Россия/Московская область";140500;1
Лыткарино;"Россия/Московская область";140080;1
Люберцы;"Россия/Московская область";140000;1
Можайск;"Россия/Московская область";143200;1
Москва;"Россия/Московская область";101000;1
Мытищи;"Россия/Московская область";141000;1
Наро-Фоминск;"Россия/Московская область";143300;1
Ногинск;"Россия/Московская область";142400;1
Одинцово;"Россия/Московская область";143000;1
Ожерелье;"Россия/Московская область";142920;1
Озеры;"Россия/Московская область";140560;1
Орехово-Зуево;"Россия/Московская область";142600;1
"Павловский Посад";"Россия/Московская область";142500;1
Пересвет;"Россия/Московская область";141320;1
Подольск;"Россия/Московская область";142096;1
Протвино;"Россия/Московская область";142280;1
Пушкино;"Россия/Московская область";141200;1
Пущино;"Россия/Московская область";142290;1
Раменское;"Россия/Московская область";140100;1
Реутов;"Россия/Московская область";143960;1
Рошаль;"Россия/Московская область";140730;1
Руза;"Россия/Московская область";143100;1
"Сергиев Посад";"Россия/Московская область";141300;1
"Сергиев Посад-7";"Россия/Московская область";141307;1
Серпухов;"Россия/Московская область";142200;1
Солнечногорск;"Россия/Московская область";141501;1
Солнечногорск-2;"Россия/Московская область";141502;1
Солнечногорск-25;"Россия/Московская область";141501;1
Солнечногорск-30;"Россия/Московская область";141590;1
Солнечногорск-7;"Россия/Московская область";141507;1
"Старая Купавна";"Россия/Московская область";142450;1
Ступино;"Россия/Московская область";142800;1
Талдом;"Россия/Московская область";141900;1
Фрязино;"Россия/Московская область";141190;1
Химки;"Россия/Московская область";141400;1
Хотьково;"Россия/Московская область";141370;1
Черноголовка;"Россия/Московская область";142432;1
Чехов;"Россия/Московская область";142300;1
Чехов-2;"Россия/Московская область";142302;1
Чехов-3;"Россия/Московская область";142303;1
Чехов-8;"Россия/Московская область";142300;1
Шатура;"Россия/Московская область";140700;1
Щелково;"Россия/Московская область";141100;1
Электрогорск;"Россия/Московская область";142530;1
Электросталь;"Россия/Московская область";144000;1
Электроугли;"Россия/Московская область";142455;1
Яхрома;"Россия/Московская область";141840;1
Волжск;Россия/Марий-Эл;425000;1
Звенигово;Россия/Марий-Эл;425060;1
Йошкар-Ола;Россия/Марий-Эл;424000;1
Козьмодемьянск;Россия/Марий-Эл;150525;1
Бабушкин;Россия/Бурятия;671230;1
Гусиноозерск;Россия/Бурятия;671160;1
Закаменск;Россия/Бурятия;671950;1
Кяхта;Россия/Бурятия;446722;1
Северобайкальск;Россия/Бурятия;671700;1
Улан-Удэ;Россия/Бурятия;670000;1
Александров;"Россия/Владимирская область";347233;1
Владимир;"Россия/Владимирская область";600000;1
Вязники;"Россия/Владимирская область";601440;1
Гороховец;"Россия/Владимирская область";601480;1
Гусь-Хрустальный;"Россия/Владимирская область";601500;1
Камешково;"Россия/Владимирская область";601300;1
Карабаново;"Россия/Владимирская область";601640;1
Киржач;"Россия/Владимирская область";601010;1
Ковров;"Россия/Владимирская область";601900;1
Кольчугино;"Россия/Владимирская область";297551;1
Костерево;"Россия/Владимирская область";601110;1
Курлово;"Россия/Владимирская область";601570;1
Лакинск;"Россия/Владимирская область";0;1
Меленки;"Россия/Владимирская область";150530;1
Муром;"Россия/Владимирская область";309257;1
Петушки;"Россия/Владимирская область";215049;1
Покров;"Россия/Владимирская область";152075;1
Радужный;"Россия/Владимирская область";140483;1
Собинка;"Россия/Владимирская область";601201;1
Струнино;"Россия/Владимирская область";601670;1
Судогда;"Россия/Владимирская область";601351;1
Суздаль;"Россия/Владимирская область";601291;1
Юрьев-Польский;"Россия/Владимирская область";601800;1
Волгоград;"Россия/Волгоградская область";400000;1
Волжский;"Россия/Волгоградская область";404100;1
Дубовка;"Россия/Волгоградская область";356210;1
Жирновск;"Россия/Волгоградская область";403790;1
Калач-на-Дону;"Россия/Волгоградская область";404500;1
Камышин;"Россия/Волгоградская область";403870;1
Котельниково;"Россия/Волгоградская область";157250;1
Котово;"Россия/Волгоградская область";143521;1
Краснослободск;"Россия/Волгоградская область";404160;1
Ленинск;"Россия/Волгоградская область";404620;1
Михайловка;"Россия/Волгоградская область";161306;1
Николаевск;"Россия/Волгоградская область";404030;1
Новоаннинский;"Россия/Волгоградская область";403950;1
Палласовка;"Россия/Волгоградская область";404260;1
"Петров Вал";"Россия/Волгоградская область";403840;1
Серафимович;"Россия/Волгоградская область";403441;1
Суровикино;"Россия/Волгоградская область";404410;1
Урюпинск;"Россия/Волгоградская область";403110;1
Фролово;"Россия/Волгоградская область";171637;1
Бабаево;"Россия/Вологодская область";152080;1
Белозерск;"Россия/Вологодская область";161200;1
"Великий Устюг";"Россия/Вологодская область";160839;1
Вологда;"Россия/Вологодская область";160000;1
Вытегра;"Россия/Вологодская область";162900;1
Грязовец;"Россия/Вологодская область";162000;1
Кадников;"Россия/Вологодская область";162107;1
Кириллов;"Россия/Вологодская область";161100;1
Красавино;"Россия/Вологодская область";161390;1
Никольск;"Россия/Вологодская область";161440;1
Сокол;"Россия/Вологодская область";161157;1
Тотьма;"Россия/Вологодская область";161300;1
Устюжна;"Россия/Вологодская область";162840;1
Харовск;"Россия/Вологодская область";162250;1
Череповец;"Россия/Вологодская область";160860;1
Бобров;"Россия/Воронежская область";397700;1
Богучар;"Россия/Воронежская область";396790;1
